name dummy x y z omega phi kappa
585535239 585535239 -639965.87 -1043113.648 233.248 -0.125 -0.407 -113.914
585535734 585535734 -639968.011 -1043118.236 233.109 -0.675 -1.063 -118.936
585536229 585536229 -639970.519 -1043122.567 233.008 -0.53 -0.568 -123.435
585536746 585536746 -639973.244 -1043126.511 232.92 -0.07 -0.359 -127.492
585537284 585537284 -639976.039 -1043129.942 232.83 0.64 -0.15 -132.275
585537822 585537822 -639978.628 -1043132.578 232.787 0.86 -2.532 -138.118
585538680 585538680 -639982.643 -1043135.527 232.832 0.228 -2.823 -151.935
585539537 585539537 -639986.862 -1043137.155 232.866 0.526 -2.983 -166.95
585540409 585540409 -639991.987 -1043137.743 232.874 0.903 -3.691 179.285
585541201 585541201 -639998.156 -1043137.198 232.917 -0.26 -3.581 167.798
585541786 585541786 -640003.462 -1043135.737 232.926 -0.777 -2.812 158.243
585542297 585542297 -640008.236 -1043133.599 232.912 -0.259 -2.042 151.985
585542787 585542787 -640012.83 -1043131.132 232.889 0.345 -2.868 150.6
585543253 585543253 -640017.478 -1043128.647 232.878 0.226 -2.433 150.495
585543697 585543697 -640022.026 -1043126.188 232.85 0.274 -2.253 150.283
585544141 585544141 -640026.632 -1043123.682 232.835 0.21 -1.91 150.028
585544566 585544566 -640031.023 -1043121.281 232.809 0.274 -1.918 150.062
585544990 585544990 -640035.42 -1043118.876 232.79 0.303 -2.294 150.138
585545414 585545414 -640039.864 -1043116.452 232.768 0.473 -2.121 150.253
585545838 585545838 -640044.268 -1043114.072 232.754 0.383 -2.025 150.448
585546263 585546263 -640048.609 -1043111.735 232.735 0.45 -1.776 150.522
585546687 585546687 -640052.857 -1043109.456 232.716 0.256 -1.654 150.371
585547112 585547112 -640056.893 -1043107.219 232.699 0.418 -1.386 149.251
585547556 585547556 -640060.79 -1043104.933 232.664 -0.177 -1.79 146.557
585548041 585548041 -640064.641 -1043102.307 232.665 -0.766 -1.196 141.225
585548548 585548548 -640068.036 -1043099.346 232.645 -1.046 -1.697 133.955
585549132 585549132 -640071.191 -1043095.631 232.625 -0.844 -1.611 124.569
585549735 585549735 -640073.496 -1043091.581 232.611 -0.573 -2.527 112.653
585550406 585550406 -640074.923 -1043086.952 232.643 -0.474 -2.775 100.247
585551119 585551119 -640075.393 -1043082.156 232.688 -1.151 -2.715 88.685
585551855 585551855 -640075.043 -1043077.491 232.763 -0.823 -1.735 82.46
585552708 585552708 -640074.071 -1043072.69 232.762 -0.425 -2.224 73.115
585553658 585553658 -640072.192 -1043068.172 232.763 -0.239 -2.492 60.981
585554577 585554577 -640069.333 -1043063.924 232.764 0.328 -3.034 50.779
585555416 585555416 -640065.966 -1043060.027 232.783 0.799 -2.454 47.572
585556235 585556235 -640062.655 -1043056.272 232.79 0.574 -2.319 47.792
585557095 585557095 -640059.474 -1043052.576 232.812 0.487 -2.101 48.573
585557956 585557956 -640056.741 -1043049.277 232.823 0.285 -2.206 49.735
585559016 585559016 -640053.806 -1043045.554 232.835 0.328 -2.427 51.241
585600158 585600158 -640050.817 -1043041.576 232.845 0.149 -2.696 52.136
585601134 585601134 -640047.73 -1043037.399 232.85 0.055 -3.412 52.549
585601894 585601894 -640044.508 -1043032.911 232.859 -0.224 -3.339 53.807
585602496 585602496 -640041.436 -1043028.449 232.863 -0.094 -3.537 55.218
585603032 585603032 -640038.429 -1043023.831 232.891 -0.228 -2.862 56.387
585603518 585603518 -640035.65 -1043019.372 232.896 -0.472 -2.596 57.619
585603981 585603981 -640032.996 -1043014.91 232.913 -0.982 -2.888 58.463
585604441 585604441 -640030.327 -1043010.284 232.949 -2.027 -2.477 58.508
585604884 585604884 -640027.697 -1043005.823 232.981 -2.286 -2.516 58.175
585605326 585605326 -640024.982 -1043001.357 232.994 -2.039 -1.936 57.606
585605768 585605768 -640022.202 -1042996.88 232.981 -1.324 -2.926 57.816
585606190 585606190 -640019.533 -1042992.451 233.04 -1.994 -3.179 57.533
585606612 585606612 -640016.751 -1042987.913 233.086 -1.769 -2.698 57.739
585607034 585607034 -640013.937 -1042983.268 233.098 -1.851 -2.606 57.963
585607421 585607421 -640011.316 -1042978.913 233.124 -1.706 -2.834 58.193
585607807 585607807 -640008.665 -1042974.452 233.156 -1.617 -2.697 58.556
585608193 585608193 -640006.016 -1042969.913 233.188 -1.778 -2.732 58.893
585608579 585608579 -640003.35 -1042965.275 233.222 -1.804 -2.866 59.443
585608966 585608966 -640000.634 -1042960.492 233.26 -1.496 -2.855 59.81
585609352 585609352 -639997.908 -1042955.546 233.305 -1.544 -3.213 60.679
585609692 585609692 -639995.521 -1042951.041 233.359 -1.877 -3.002 61.336
585610032 585610032 -639993.145 -1042946.471 233.4 -1.792 -2.897 62.077
585610372 585610372 -639990.827 -1042941.841 233.456 -1.998 -3.026 62.639
585610712 585610712 -639988.526 -1042937.164 233.523 -1.9 -2.729 63.189
585611052 585611052 -639986.272 -1042932.479 233.571 -1.637 -2.681 63.893
585611393 585611393 -639984.093 -1042927.762 233.627 -1.83 -2.744 64.449
585611733 585611733 -639981.939 -1042923.025 233.658 -1.677 -2.837 64.973
585612073 585612073 -639979.831 -1042918.262 233.705 -1.84 -2.712 65.286
585612413 585612413 -639977.743 -1042913.503 233.753 -1.571 -2.556 65.65
585612753 585612753 -639975.713 -1042908.747 233.793 -1.732 -2.612 66.143
585613093 585613093 -639973.719 -1042903.987 233.837 -1.596 -2.503 66.62
585613433 585613433 -639971.776 -1042899.23 233.871 -1.715 -2.669 66.853
585613773 585613773 -639969.847 -1042894.478 233.928 -1.713 -2.517 67.054
585614114 585614114 -639967.964 -1042889.77 233.982 -1.869 -2.64 67.369
585614454 585614454 -639966.109 -1042885.044 234.035 -1.846 -2.946 68.031
585614794 585614794 -639964.298 -1042880.248 234.094 -1.943 -2.901 68.656
585615134 585615134 -639962.526 -1042875.422 234.16 -1.859 -2.951 69.302
585615474 585615474 -639960.797 -1042870.543 234.214 -1.762 -3.044 70.034
585615814 585615814 -639959.124 -1042865.594 234.271 -1.915 -3.048 70.713
585616154 585616154 -639957.477 -1042860.576 234.334 -1.807 -3.017 71.194
585616494 585616494 -639955.871 -1042855.527 234.4 -1.65 -2.813 71.854
585616835 585616835 -639954.331 -1042850.483 234.458 -1.504 -2.683 72.5
585617175 585617175 -639952.857 -1042845.462 234.524 -1.329 -3.019 73.175
585617515 585617515 -639951.456 -1042840.428 234.596 -1.408 -2.924 73.776
585617855 585617855 -639950.099 -1042835.398 234.649 -1.328 -3.371 74.286
585618195 585618195 -639948.797 -1042830.333 234.731 -1.517 -2.787 74.714
585618535 585618535 -639947.521 -1042825.288 234.794 -1.374 -3.083 75.152
585618875 585618875 -639946.276 -1042820.214 234.866 -1.006 -2.985 75.531
585619215 585619215 -639945.079 -1042815.127 234.93 -1.349 -3.042 76.127
585619555 585619555 -639943.929 -1042810.01 235.001 -1.32 -3.058 76.722
585619895 585619895 -639942.822 -1042804.858 235.061 -1.31 -2.904 77.267
585620235 585620235 -639941.759 -1042799.689 235.131 -1.185 -3.243 77.858
585620575 585620575 -639940.758 -1042794.48 235.222 -1.422 -3.187 78.245
585620894 585620894 -639939.853 -1042789.577 235.301 -1.738 -3.121 78.594
585621213 585621213 -639938.966 -1042784.663 235.384 -1.764 -3.037 79.125
585621532 585621532 -639938.123 -1042779.728 235.456 -1.636 -2.929 79.733
